DateTime,Shot Type,PowerPlay,XLocation,YLocation
2019-01-23T00:00:00Z,Snap Shot,TRUE,-59,-13
2019-01-24T00:30:00Z,Slap Shot,TRUE,-61,17
2019-02-12T00:00:00Z,Snap Shot,FALSE,-65,14
2019-02-15T03:30:00Z,Wrist Shot,TRUE,72,23
2019-02-18T02:00:00Z,Slap Shot,TRUE,-59,-26
2019-02-19T03:30:00Z,Slap Shot,FALSE,57,27
2019-02-19T03:30:00Z,Slap Shot,FALSE,-55,-24
2019-02-22T00:00:00Z,Slap Shot,FALSE,-41,-17
2019-02-23T18:00:00Z,Wrist Shot,TRUE,63,-3
2019-03-02T00:00:00Z,Wrist Shot,FALSE,-77,7
2019-03-03T17:30:00Z,,TRUE,80,-8
2019-03-07T00:30:00Z,Snap Shot,FALSE,-69,-21
2019-03-16T23:00:00Z,Wrist Shot,FALSE,54,11
2019-03-16T23:00:00Z,Wrist Shot,TRUE,-73,11
2019-03-26T23:00:00Z,Slap Shot,TRUE,-51,-1
2019-03-30T23:00:00Z,Wrist Shot,TRUE,-64,12
2019-03-30T23:00:00Z,Slap Shot,FALSE,-49,-22
2019-04-11T23:30:00Z,Wrist Shot,FALSE,-65,-20
2019-04-18T23:00:00Z,Slap Shot,FALSE,-55,-23
2019-04-21T00:00:00Z,Slap Shot,FALSE,-45,-9
2019-04-22T23:00:00Z,Snap Shot,TRUE,66,6
2020-01-08T00:00:00Z,Snap Shot,TRUE,61,-26
2020-01-08T00:00:00Z,Slap Shot,TRUE,-76,-26
2020-01-14T00:00:00Z,Wrist Shot,TRUE,-73,1
2020-01-14T00:00:00Z,Slap Shot,FALSE,-53,-22
2020-01-17T00:00:00Z,Slap Shot,FALSE,-52,-21
2020-01-17T00:00:00Z,Snap Shot,TRUE,-59,-16
2020-01-17T00:00:00Z,Wrist Shot,TRUE,-78,6
2020-01-18T18:00:00Z,Wrist Shot,TRUE,-77,5
2020-01-18T18:00:00Z,Wrist Shot,TRUE,-76,-21
2020-01-18T18:00:00Z,Wrist Shot,TRUE,-19,-15
2020-01-30T00:30:00Z,Wrist Shot,TRUE,-82,3
2020-02-01T00:30:00Z,Wrist Shot,TRUE,67,-11
2020-02-01T00:30:00Z,Wrist Shot,FALSE,-48,-5
2020-02-05T00:00:00Z,Wrist Shot,TRUE,-80,-5
2020-02-05T00:00:00Z,Wrist Shot,TRUE,-82,1
2020-02-05T00:00:00Z,Wrist Shot,TRUE,49,0
2020-02-21T00:00:00Z,Wrist Shot,TRUE,-52,-20
